process,Category,Process_Details
systeminfo.exe,Target Discovery,"Command-line utility that displays information about your Windows version, BIOS, processor, memory, network configuration"
tasklist.exe,Target Discovery,Displays running processes
timestomp.exe,Deleting Evidence,Changes the file timestamp and it can be used to conceal the access to the file by restoring the timestamp.
tracert.exe,Target Discovery,Traceroute tool. It can be used to discover information about the network
vssadmin.exe,Capturing Active Directory Database,"Creates Volume Shadow Copy and extracts NTDS.DIT and it can be used to extract NTDS.DIT,  a database for NTDS,  so that the password can be analysed using other tools."
wce.exe,Password Hash Acquisition,Acquires password hash information in the memory of a logged in host
wceaux.dll,Privilege Escalation,Executes a command with higher privileges using the hash of the acquired password
WebBrowserPassView.exe,Password Hash Acquisition,Extracts user names and passwords saved in the web browser of a machine
wevtutil.exe,Deleting Evidence,Deletes Windows event logs and it can be used to delete the evidence of an attack.
whoami.exe,Target Discovery,Displays information about the current user
winrar.exe,Command Execution,"Used by many attackers to deploy tools, exfiltrate information"
winrs.exe,Command Execution,Executes a command on a remote hosts
WMIC.exe,Command Execution,A tool used for Windows system management and it may be used to acquire information on the remote system or to execute a command with WMI.
wmic.exe,Command Execution,Windows Management Instrumentation Command-line
wmiexec.vbs,Command Execution,A tool used for Windows system management that may execute a script for other hosts.
wscript.exe,Command Execution,Can be used to execute a large number of scripts
wsmprovhost.exe,Privilege Escalation,WinRM Remote Powershell - Can be used to elevate privileges
wusa.exe,Privilege Escalation,Windows Update Standalone Installer - Can be used to elevate privileges
